time_stamp,ICAO,lat (deg),lon (deg),altitude (meters),heading,hor_velocity (mps),ver_velocity (mps),latlon valid,altitude valid,heading valid,velocity valid,callsign valid,ident valid,simulated report,vert_vel valid,baro valid,source_uat,squawk,altitude_type,callsign,emitter_type,tslc
54663.025,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54663.033,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54663.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,35
54664.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54664.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54664.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,36
54665.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54665.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54665.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,37
54666.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54666.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54666.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,38
54667.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54667.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54667.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,39
54668.024,"AAAAA3",27.549398,-82.542515,-46,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"PING3   ",14,1
54668.034,"AAAA16",27.549548,-82.542687,-38,0.000,0.000,0.000,1,1,1,1,1,0,0,0,1,1,"0000",0,"TEST16  ",14,1
54668.041,"FAA020",40.233779,-111.640835,2147484,225.000,0.720,0.320,0,0,1,1,1,0,0,0,0,0,"0000",1,"PING20  ",14,40
